Субъект РФ;Самостоятельные образовательные организации, всего;Самостоятельные образовательные организации, государственные и муниципальные;Самостоятельные образовательные организаци, частные;Филиалы самостоятельных образовательных организаций, всего;Филиалы самостоятельных образовательных организаций, государственные и муниципальные;Филиалы самостоятельных образовательных организаций, частные;Численность студентов, всего человек;Численность работников, всего человек;Профессорско-преподавательский состав, всего человек;Год формирования сведений
Российская Федерация;710;497;213;549;430;119;4049333;576276;223088;2020
Центральный федеральный округ;258;154;104;128;89;39;1284407;198727;75141;2020
   Белгородская область;5;4;1;6;5;1;46181;5562;2275;2020
   Брянская область;5;4;1;5;5;0;22876;2435;990;2020
   Владимирская область;3;2;1;6;5;1;25377;2617;1153;2020
   Воронежская область;15;10;5;9;7;2;84976;9906;4594;2020
   Ивановская область;6;6;0;5;3;2;24274;3765;1543;2020
   Калужская область;3;1;2;8;7;1;19198;1741;834;2020
   Костромская область;2;2;0;0;0;0;9998;1251;548;2020
   Курская область;8;5;3;3;1;2;37036;4125;1717;2020
   Липецкая область;4;3;1;7;3;4;19439;1849;935;2020
   Московская область;24;13;11;36;25;11;78707;10857;3806;2020
   Орловская область;4;4;0;5;4;1;27437;2996;1308;2020
   Рязанская область;6;4;2;3;1;2;29673;3888;1667;2020
   Смоленская область;6;5;1;10;6;4;21573;2894;1270;2020
   Тамбовская область;4;4;0;3;2;1;27784;3685;1350;2020
   Тверская область;6;4;2;3;2;1;22682;3369;1475;2020
   Тульская область;5;2;3;6;5;1;33403;3327;1267;2020
   Ярославская область;8;7;1;7;5;2;31304;4101;1785;2020
   г.Москва;144;74;70;6;3;3;722489;130359;46624;2020
Северо-Западный федеральный округ;87;59;28;42;32;10;424214;71689;26863;2020
   Республика Карелия;2;2;0;2;2;0;10769;1917;736;2020
   Республика Коми;3;3;0;3;3;0;13837;1686;547;2020
   Архангельская область;4;2;2;3;2;1;17287;2670;987;2020
   Вологодская область;4;4;0;3;2;1;18653;1893;757;2020
   Калининградская область;3;2;1;6;2;4;20505;3017;1076;2020
   Ленинградская область;1;1;0;9;8;1;6290;637;242;2020
   Мурманская область;4;3;1;4;3;1;6564;1017;358;2020
